1	FloridaFla	13-1	1575	63	2	+1	1/10
2	Ohio StateOhioSt	12-1	1435	0	1	-1	1/2
3	Louisiana StateLSU	11-2	1418	0	4	+1	3/16
4	Southern CaliforniaUSC	11-2	1345	0	7	+3	2/9
5	WisconsinWisc	12-1	1328	0	5	-	5/NR
6	Boise StateBoise	13-0	1275	0	9	+3	6/NR
7	LouisvilleLou	12-1	1270	0	6	-1	4/13
8	AuburnAuburn	11-2	1119	0	10	+2	3/15
9	MichiganMich	11-2	1092	0	3	-6	2/15
10	West VirginiaWVU	11-2	1012	0	12	+2	3/15
11	OklahomaOkla	11-3	849	0	8	-3	5/22
12	RutgersRut	11-2	841	0	17	+5	8/NR
13	TexasTex	10-3	791	0	16	+3	2/17
14	CaliforniaCal	10-3	716	0	19	+5	9/23
15	Brigham YoungBYU	11-2	615	0	20	+5	15/NR
16	ArkansasArk	10-4	592	0	13	-3	5/NR
17	Wake ForestWake	11-3	535	0	15	-2	14/NR
18	Virginia TechVaTech	10-3	494	0	14	-4	10/NR
19	Notre DameND	10-3	485	0	11	-8	3/19
20	Boston CollegeBC	10-3	388	0	23	+3	16/NR
21	Texas ChristianTCU	11-2	339	0	24	+3	15/NR
22	Oregon StateOreSt	10-4	206	0	25	+3	22/NR
23	TennesseeTenn	9-4	202	0	18	-5	8/23
24	HawaiiHawaii	11-3	152	0	NR	+4	23/NR
